X,Y,ID,PARTS,NOM,CODE,CLASSIF,SOUS_PREF,DEPART,REGION,icon_url
-7.56501314510875,9.50406943339127,"124","1",ODIENNE,"5","1",ODIENNE,ODIENNE,DENGUELE,./0.png
-5.62966519081094,9.45966208581244,"1404","1",KORHOGO,"5","1",KORHOGO,KORHOGO,SAVANES,./0.png
-5.05612295348498,7.09420105830788,"3108","1",BONDOUKOU,"1","1",TIEBISSOU,TIEBISSOU,LACS,./0.png
-7.55041352384889,7.40723250582462,"3604","1",MAN,"5","1",MAN,MAN,18 MONTAGNES,./0.png
-6.6756825814441,7.96148105808279,"3837","1",SEGUELA,"5","1",SEGUELA,SEGUELA,WORODOUGOU,./0.png
-2.80052962715644,8.03929032709744,"4227","1",BONDOUKOU,"5","1",BONDOUKOU,BONDOUKOU,ZANZAN,./0.png
-4.85409060303666,7.1800559001617,"4784","1",BONDOUKOU,"1","0",DIDIEVI,YAMOUSSOUKRO,LACS,./0.png
-6.44854975686951,6.87658793983864,"5055","1",DALOA,"5","1",DALOA,DALOA,HAUT SASSANDRA,./0.png
-3.49238716880741,6.73364573613438,"5281","1",ABENGOUROU,"5","1",ABENGOUROU,ABENGOUROU,MOYEN COMOE,./0.png
-4.71495642192767,6.65153768751377,"5446","1",DIMBOKRO,"4","1",DIMBOKRO,DIMBOKRO,N'ZI COMOE,./0.png
-5.94707184488738,6.13070215222472,"6217","1",GAGNOA,"5","1",GAGNOA,GAGNOA,FROMAGER,./0.png
-4.37528753552307,5.32438165429029,"7183","1",DABOU,"4","1",DABOU,DABOU,LAGUNES,./0.png
-6.65254135542902,4.75496552972171,"7646","1",SAN-PEDRO,"5","1",SAN-PEDRO,SAN-PEDRO,BAS SASSANDRA,./0.png
-5.03060369625348,7.69263100196657,"8020","1",BOUAKE,"5","1",BOUAKE,BOUAKE,VALLEE DU BANDAMA,./0.png
