X,Y,id,NUMPOINTS,icon_url
-4.01469838455337,5.42730851397019,,4.000000000000000,./0.png
-4.04866492247683,5.44400646672613,,1.000000000000000,./1.png
-3.99566698068232,5.41481292138655,,1.000000000000000,./1.png
-3.99151687511579,5.39835672391157,,4.000000000000000,./0.png
-3.98617007501135,5.39770672579376,,1.000000000000000,./1.png
-3.97628317360456,5.39298012950326,,6.000000000000000,./2.png
-3.98696967276634,5.39121502594813,,4.000000000000000,./0.png
-3.97136037435802,5.3948713310712,,4.000000000000000,./0.png
-3.96922797495818,5.39648983169871,,2.000000000000000,./3.png
-3.96180017727084,5.40277833384559,,4.000000000000000,./0.png
-3.97442318870237,5.38602512723807,,8.000000000000000,./4.png
-3.97385977035799,5.38335303096472,,6.000000000000000,./2.png
-3.98777047049267,5.38463222610875,,1.000000000000000,./1.png
-3.99325097057572,5.38523322418815,,4.000000000000000,./0.png
-3.99236237284411,5.39179252405708,,4.000000000000000,./0.png
-3.99474686887531,5.38036632399902,,4.000000000000000,./0.png
-3.99750056788395,5.37765282323598,,4.000000000000000,./0.png
-3.99848426691691,5.37489152308343,,4.000000000000000,./0.png
-3.99859706644456,5.37351762313665,,2.000000000000000,./3.png
-3.99837446469924,5.36839502355538,,4.000000000000000,./0.png
-3.99756536270174,5.36248882422684,,6.000000000000000,./2.png
-3.98991446266268,5.36186342688333,,6.000000000000000,./2.png
-4.00029506137829,5.35879342354127,,4.000000000000000,./0.png
-4.001770945555,5.35362500801321,,2.000000000000000,./3.png
-4.00214474596639,5.35171982837154,,3.000000000000000,./3.png
-4.00269425789965,5.34874582339617,,4.000000000000000,./0.png
-3.9911850584697,5.34964052726091,,5.000000000000000,./2.png
-3.98895395869074,5.35014162798841,,6.000000000000000,./2.png
-3.98693043954205,5.35066173544432,,6.000000000000000,./2.png
-3.97710309011323,5.35371243764206,,2.000000000000000,./3.png
-3.96747086138927,5.35668813488703,,6.000000000000000,./2.png
-3.96473148223542,5.35791468909087,,6.000000000000000,./2.png
-3.9591617631207,5.36126073742755,,6.000000000000000,./2.png
-3.96120186111125,5.3554855371037,,4.000000000000000,./0.png
-3.9579473606807,5.35402293830792,,4.000000000000000,./0.png
-3.96293006385777,5.36365193598619,,4.000000000000000,./0.png
-3.96635186339366,5.36250093489181,,1.000000000000000,./1.png
-3.96504656652206,5.37158893474894,,4.000000000000000,./0.png
-3.95466405972692,5.35102183961996,,4.000000000000000,./0.png
-3.93873796654568,5.37011024384107,,2.000000000000000,./3.png
-3.95798375288992,5.33108533977153,,4.000000000000000,./0.png
-3.97540215534616,5.33941863331035,,1.000000000000000,./1.png
-3.97685445419316,5.3361154330327,,1.000000000000000,./1.png
-3.97869295512806,5.33898853221896,,6.000000000000000,./2.png
-3.99649425341605,5.33512942641912,,4.000000000000000,./0.png
-4.00038925336149,5.33523572508723,,4.000000000000000,./0.png
-4.00393865355925,5.3360639238242,,4.000000000000000,./0.png
-4.00788525162205,5.33063222284786,,3.000000000000000,./3.png
-4.00123895151478,5.32985172515919,,1.000000000000000,./1.png
-4.00363695487976,5.33993062366703,,4.000000000000000,./0.png
-3.99994995480413,5.3394535249542,,4.000000000000000,./0.png
-4.00295115631768,5.34411332361963,,4.000000000000000,./0.png
-3.99931985620668,5.34353722489537,,4.000000000000000,./0.png
-3.99742355695347,5.34560402540327,,3.000000000000000,./3.png
-3.88461526315217,5.35734936309514,,1.000000000000000,./1.png
